Gallup,"Yes, a mistake","No, not a mistake",No opinion
,%,%,%
2022 Aug 1-23,50,46,3
2021 Sep 1-17,47,50,3
2021 Jul 6-21,47,46,6
2019 Aug 15-30,43,52,5
2015 Jun 2-7,42,54,4
2014 Feb 6-9,49,48,3
2013 Mar 7-10,44,51,5
2011 May 5-8,39,58,3
2011 Mar 25-27,42,53,5
2010 Nov 19-21,39,58,3
2010 Jul 27-Aug 1,43,52,4
2010 Jul 8-11 ^,38,58,4
2009 Nov 20-22,36,60,3
2009 Aug 31-Sep 2,37,61,2
2009 Jul 10-12 ^,36,61,3
2009 Jan 30-Feb 1,30,66,4
2008 Aug 21-23 ^,34,63,3
2008 Jul 25-27,28,68,4
2007 Aug 3-5,25,70,5
2004 Jul 19-21,25,72,3
2002 Jan 7-9,6,93,1
2001 Nov 8-11,9,89,2
